,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.8323)
1,1,0,1,tox,tensor(0.8323)
2,2,0,2,tox,tensor(0.8301)
3,3,0,3,tox,tensor(0.8306)
4,4,0,4,tox,tensor(0.8297)
5,5,0,5,tox,tensor(0.8280)
6,6,0,6,tox,tensor(0.8286)
7,7,0,7,tox,tensor(0.8290)
8,8,0,8,tox,tensor(0.8287)
9,9,0,9,tox,tensor(0.8290)
10,10,0,10,tox,tensor(0.8293)
11,11,0,11,tox,tensor(0.8296)
12,12,0,12,tox,tensor(0.8298)
13,13,0,13,tox,tensor(0.8300)
14,14,0,14,tox,tensor(0.8297)
15,15,0,15,tox,tensor(0.8298)
16,16,0,16,tox,tensor(0.8296)
17,17,0,17,tox,tensor(0.8297)
18,18,0,18,tox,tensor(0.8299)
19,19,0,19,tox,tensor(0.8297)
20,20,0,20,tox,tensor(0.8298)
21,21,0,21,tox,tensor(0.8299)
22,22,0,22,tox,tensor(0.8289)
23,23,0,23,tox,tensor(0.8290)
24,24,0,24,tox,tensor(0.8292)
25,25,0,25,tox,tensor(0.8293)
26,26,0,26,tox,tensor(0.8292)
27,27,0,27,tox,tensor(0.8290)
28,28,0,28,tox,tensor(0.8291)
29,29,0,29,tox,tensor(0.8292)
30,30,0,30,tox,tensor(0.8291)
31,31,0,31,tox,tensor(0.8292)
32,32,0,32,tox,tensor(0.8293)
33,33,0,33,tox,tensor(0.8294)
34,34,0,34,tox,tensor(0.8295)
35,35,0,35,tox,tensor(0.8296)
36,36,0,36,tox,tensor(0.8296)
37,37,0,37,tox,tensor(0.8295)
38,38,0,38,tox,tensor(0.8296)
39,39,0,39,tox,tensor(0.8295)
40,40,0,40,tox,tensor(0.8296)
41,41,0,41,tox,tensor(0.8296)
42,42,0,42,tox,tensor(0.8296)
43,43,0,43,tox,tensor(0.8296)
44,44,0,44,tox,tensor(0.8297)
45,45,0,45,tox,tensor(0.8297)
46,46,0,46,tox,tensor(0.8296)
47,47,0,47,tox,tensor(0.8297)
48,48,0,48,tox,tensor(0.8298)
49,49,0,49,tox,tensor(0.8297)
